message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2,071750, y=11,117770])";"30";"turtlesim3.sim";"1759166837.229454436";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,071750, y=11,117770])";"30";"turtlesim2.sim";"1759166837.213300499";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,085530, y=11,117770])";"30";"turtlesim3.sim";"1759166837.213108513";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,071750, y=11,117770])";"30";"turtlesim1.sim";"1759166837.197810349";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,099311, y=11,117770])";"30";"turtlesim3.sim";"1759166837.197511220";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,085530, y=11,117770])";"30";"turtlesim2.sim";"1759166837.196838498";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,113091, y=11,117770])";"30";"turtlesim3.sim";"1759166837.181817233";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,099311, y=11,117770])";"30";"turtlesim2.sim";"1759166837.181443699";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,085530, y=11,117770])";"30";"turtlesim1.sim";"1759166837.181328021";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,099311, y=11,117770])";"30";"turtlesim1.sim";"1759166837.165557425";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,126872, y=11,117770])";"30";"turtlesim1.sim";"1759166837.133806136";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,154433, y=11,117770])";"30";"turtlesim3.sim";"1759166837.132875007";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,140652, y=11,117770])";"30";"turtlesim2.sim";"1759166837.132875108";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,140652, y=11,117770])";"30";"turtlesim1.sim";"1759166837.117817547";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,154433, y=11,117770])";"30";"turtlesim2.sim";"1759166837.117264731";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,168214, y=11,117770])";"30";"turtlesim3.sim";"1759166837.117264701";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,154433, y=11,117770])";"30";"turtlesim1.sim";"1759166837.101778398";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,181994, y=11,117770])";"30";"turtlesim3.sim";"1759166837.101782856";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,168214, y=11,117770])";"30";"turtlesim2.sim";"1759166837.101783978";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,168214, y=11,117770])";"30";"turtlesim1.sim";"1759166837.086256550";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,195775, y=11,117770])";"30";"turtlesim3.sim";"1759166837.085481223";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,181994, y=11,117770])";"30";"turtlesim2.sim";"1759166837.085413491";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,209555, y=11,117770])";"30";"turtlesim3.sim";"1759166837.069956010";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,195775, y=11,117770])";"30";"turtlesim2.sim";"1759166837.069943387";"/home/nek1t/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
